Code,Description,Level
B01.01.000.002,Tragfähigkeitsmessung,5
B01.01.000.003,Versuchsanker,5
B01.01.000.004,Schlitz,5
B01.01.001,Baugrunduntersuchung,4
B01.01.001.001,Sondierung,5
B01.01.001.002,Tragfähigkeitsmessung,5
B01.01.001.003,Versuchsanker,5
B01.01.001.004,Schlitz,5
B01.01.002,Grundwasseruntersuchung,4
B01.01.002.001,Sondierung,5
B01.02,Bestandsaufnahme,3
B01.02.000,Bestandsaufnahme,4
B01.02.000.000,Bestandsaufnahme,5
B01.02.000.001,Analoge Aufnahme,5
B01.02.000.002,Laseraufnahme,5
B01.02.000.003,Aufnahme mit Drohnen,5
B01.02.000.004,3-D-Modellierung,5
B01.02.000.005,Sondierung,5
B01.02.000.006,Rissprotokoll,5
B01.02.001,Bestandsaufnahme Bauwerke,4
B01.02.001.001,Analoge Aufnahme,5
B01.02.001.002,Laseraufnahme,5
B01.02.001.003,Aufnahme mit Drohnen,5
B01.02.001.004,3-D-Modellierung,5
B01.02.001.005,Sondierung,5
B01.02.001.006,Rissprotokoll,5
B01.02.002,Bestandsaufnahme Verkehrsanlagen,4
B01.02.002.001,Analoge Aufnahme,5
B01.02.002.002,Laseraufnahme,5
B01.02.002.003,Aufnahme mit Drohnen,5
B01.02.002.004,3-D-Modellierung,5
B01.02.003,Bestandsaufnahme Leitungen mittels Kanal-TV,4
B01.02.003.001,Analoge Aufnahme,5
B01.02.003.004,3-D-Modellierung,5
B01.02.004,Bestandsaufnahme Fauna und Flora,4
B01.02.004.001,Analoge Aufnahme,5
B01.02.004.002,Laseraufnahme,5
B01.02.004.003,Aufnahme mit Drohnen,5
B01.02.004.004,3-D-Modellierung,5
B01.02.004.005,Sondierung,5
B01.03,Umweltmessung,3
B01.03.000,Umweltmessung,4
B01.03.000.000,Umweltmessung,5
B01.03.001,Altlasten im Boden,4
B01.03.002,Belastete Bausubstanz,4
B01.03.003,Schallmessung,4
B01.03.004,Partikelbelastung in Luft,4
B01.03.005,Partikelbelastung in Wasser,4
B01.03.006,Partikelbelastung in Boden,4
B01.03.007,Messung elektromagnetischer Strahlung,4
B01.03.008,Belastung durch elektromagnetische Strahlung,4
B01.04,Überwachung,3
B01.04.000,Überwachung,4
B01.04.000.000,Überwachung,5
B01.04.001,Bauwerksüberwachung,4
B01.04.002,Rissüberwachung,4
B01.04.003,Setzungsmessung,4
B01.04.004,Erschütterungsmessung,4
B01.04.005,Schallmessung,4
B01.04.006,Deformationsmessung,4
B02,Baustelleneinrichtung,2
B02.01,Baustellenerschliessung,3
B02.01.000,Baustellenerschliessung,4
B02.01.000.000,Baustellenerschliessung,5
B02.01.001,Zufahrt,4
B02.01.002,Plätze und Lagerfläche,4
B02.01.003,Signalisierung und Abschrankungen,4
B02.01.004,Schutz- und Überwachungseinrichtungen,4
B02.02,"Versorgung, Entsorgung",3
B02.02.000,"Versorgung, Entsorgung",4
B02.02.000.000,"Versorgung, Entsorgung",5
B02.02.001,Wasserversorgung,4
B02.02.002,Abwasserbehandlung und -entsorgung,4
B02.02.003,Pumpeneinrichtungen,4
B02.02.004,Elektrische Einrichtungen,4
B02.02.005,Fernmeldeeinrichtungen,4
B02.02.006,Drucklufteinrichtungen,4
B02.02.007,"Lüftung, Entstaubung, Heizung, Kühlung und dgl.",4
B02.02.008,"Kosten für Energie, Wasser und dgl.",4
B02.02.009,Bauabfälle,4
B02.03,"Arbeitsraum, Aufenthaltsraum",3
B02.03.000,"Arbeitsraum, Aufenthaltsraum",4
B02.03.000.000,"Arbeitsraum, Aufenthaltsraum",5
B02.03.001,Büroräume,4
B02.03.002,Aufenthalts- und Unterkunftsräume,4
B02.03.003,Magazine und Werkstätten,4
B02.03.004,Produktionsstätten,4
B02.03.005,Personentransporte und Fahrzeuge,4
B02.04,"Hebe-, Verlade-, Transport-, Lagereinrichtung",3
B02.04.000,"Hebe-, Verlade-, Transport-, Lagereinrichtung",4
B02.04.000.000,"Hebe-, Verlade-, Transport-, Lagereinrichtung",5
B02.04.001,Krane und Aufzugseinrichtungen,4
B02.04.002,Hebe- und Arbeitsbühnen,4
B02.04.003,Fördereinrichtungen,4
B02.04.004,Lade- und Transportgeräte,4
B02.04.005,Radwaschanlagen und Fahrzeugwaagen,4
B02.04.006,Einrichtungen für Umladen und Zwischenlagern,4
B02.04.007,Seilbahnen,4
B02.05,Einrichtung für Materialaufbereitung,3
B02.05.000,Einrichtung für Materialaufbereitung,4
B02.05.000.000,Einrichtung für Materialaufbereitung,5
B02.05.001,"Brech-, Wasch-, Sortier- und Aufbereitungseinrichtungen und -verarbeitung",4
B02.05.002,Aufbereitungseinrichtungen für Beton,4
B02.05.003,Einrichtungen zum Verarbeiten von Beton und Mörtel,4
B02.05.004,Aufbereitungseinrichtungen für Asphaltmischgut,4
B02.05.005,"Einrichtungen für Bodenstabilisierungen, für die Herstellung gebundener Gemische und von Asphaltbeton für Fundationsschichten in Kaltbauweise",4
B02.06,Witterungsbedingte Baumassnahme,3
B02.06.000,Witterungsbedingte Baumassnahme,4
B02.06.000.000,Witterungsbedingte Baumassnahme,5
B02.06.001,Wärmen und Schützen von Bauteilen der Konstruktion,4
B02.06.002,Schnee- und Eisräumen,4
B02.06.003,Zusatzstoffe,4
B02.06.004,Bauheizung,4
B02.07,"Baustellenorganisation, Sicherheit",3
B02.07.000,"Baustellenorganisation, Sicherheit",4
B02.07.000.000,"Baustellenorganisation, Sicherheit",5
B02.07.001,Organisation der Baustelle,4
B02.07.002,Kontrolle der Baustelle,4
B02.07.003,Bewachung der Baustelle,4
B02.08,Schutzmassnahme für Umgebung,3
B02.08.000,Schutzmassnahme für Umgebung,4
B02.08.000.000,Schutzmassnahme für Umgebung,5
B02.08.001,Schutz von bestehenden Bauwerken,4
B02.08.002,Schutz von bestehender Vegetation,4
B03,Provisorium,2
B03.01,Provisorisches Rückhaltesystem,3
B03.01.000,Provisorisches Rückhaltesystem,4
B03.01.000.000,Provisorisches Rückhaltesystem,5
B03.01.000.001,Rückhaltesystem,5
B03.01.000.002,Einrichten,5
B03.01.000.003,Rückbau,5
B03.01.001,Leitplanke aus Beton,4
B03.01.001.001,Rückhaltesystem,5
B03.01.001.002,Einrichten,5
B03.01.001.003,Rückbau,5
B03.01.002,Geländer,4
B03.01.002.001,Rückhaltesystem,5
B03.01.002.002,Einrichten,5
B03.01.002.003,Rückbau,5
B03.01.003,Auffangnetz,4
B03.01.003.001,Rückhaltesystem,5
B03.01.003.002,Einrichten,5
B03.01.003.003,Rückbau,5
B03.01.004,Schutzgerüst zwischen Fahrleitungen,4
B03.01.004.001,Rückhaltesystem,5
B03.01.004.002,Einrichten,5
B03.01.004.003,Rückbau,5
B03.01.005,Abspannung zwischen Hochspannungsleitungen,4
B03.01.005.001,Rückhaltesystem,5
B03.01.005.002,Einrichten,5
B03.01.005.003,Rückbau,5
B03.02,Provisorische Werkleitung,3
B03.02.000,Provisorische Werkleitung,4
B03.02.000.000,Provisorische Werkleitung,5
B03.02.000.001,Leitung,5
B03.02.000.002,Aushub,5
B03.02.000.003,Spriessung,5
B03.02.000.004,Schacht,5
B03.02.000.005,Gebühr,5
B03.02.000.006,Vorhaltedauer,5
B03.02.000.007,Rückbau,5
B03.02.000.008,Transport,5
B03.02.001,Kanalisationsleitung,4
B03.02.001.001,Leitung,5
B03.02.001.002,Aushub,5
B03.02.001.003,Spriessung,5
B03.02.001.004,Schacht,5
B03.02.001.005,Gebühr,5
B03.02.001.006,Vorhaltedauer,5
B03.02.001.007,Rückbau,5
B03.02.001.008,Transport,5
B03.02.002,Elektroleitung,4
B03.02.002.001,Leitung,5
B03.02.002.002,Aushub,5
B03.02.002.003,Spriessung,5
B03.02.002.004,Schacht,5
B03.02.002.005,Gebühr,5
B03.02.002.006,Vorhaltedauer,5
B03.02.002.007,Rückbau,5
B03.02.002.008,Transport,5
B03.02.003,Telekommunikationsleitung,4
B03.02.003.001,Leitung,5
B03.02.003.002,Aushub,5
B03.02.003.003,Spriessung,5
B03.02.003.004,Schacht,5
B03.02.003.005,Gebühr,5
B03.02.003.006,Vorhaltedauer,5
B03.02.003.007,Rückbau,5
B03.02.003.008,Transport,5
B03.02.004,Heizungsleitung,4
B03.02.004.001,Leitung,5
B03.02.004.002,Aushub,5
B03.02.004.003,Spriessung,5
B03.02.004.004,Schacht,5
B03.02.004.005,Gebühr,5
B03.02.004.006,Vorhaltedauer,5
B03.02.004.007,Rückbau,5
B03.02.004.008,Transport,5
B03.02.005,Kälteleitung,4
B03.02.005.001,Leitung,5
B03.02.005.002,Aushub,5
B03.02.005.003,Spriessung,5
B03.02.005.004,Schacht,5
B03.02.005.005,Gebühr,5
B03.02.005.006,Vorhaltedauer,5
B03.02.005.007,Rückbau,5
B03.02.005.008,Transport,5
B03.02.006,Wasserleitung,4
B03.02.006.001,Leitung,5
B03.02.006.002,Aushub,5
B03.02.006.003,Spriessung,5
B03.02.006.004,Schacht,5
B03.02.006.005,Gebühr,5
B03.02.006.006,Vorhaltedauer,5
B03.02.006.007,Rückbau,5
B03.02.006.008,Transport,5
B03.02.007,Gasleitung,4
B03.02.007.001,Leitung,5
B03.02.007.002,Aushub,5
B03.02.007.003,Spriessung,5
B03.02.007.004,Schacht,5
B03.02.007.005,Gebühr,5
B03.02.007.006,Vorhaltedauer,5
B03.02.007.007,Rückbau,5
B03.02.007.008,Transport,5
B03.03,Provisorisches Gebäude,3
B03.03.000,Provisorisches Gebäude,4
B03.03.000.000,Provisorisches Gebäude,5
B03.03.000.001,Provisorium,5
B03.03.000.002,Gebühr,5
B03.03.000.003,Transporteinrichtung,5
B03.03.000.004,Transport,5
B03.03.000.005,Montage,5
B03.03.000.006,Vorhaltedauer,5
B03.03.000.007,Miete,5
B03.03.000.008,Ausstattung,5
B03.03.000.009,Unterhalt,5
B03.03.000.010,Rückbau,5
B03.03.000.011,Entsorgung,5
B03.03.000.012,Erstellung,5
B03.03.000.013,Ausbau,5
B03.03.000.014,Gebäudetechnik,5
B03.03.000.015,Elektroanschluss,5
B03.03.000.016,Wasseranschluss,5
B03.03.001,Gebäude,4
B03.03.001.001,Provisorium,5
B03.03.001.002,Gebühr,5
B03.03.001.003,Transporteinrichtung,5
B03.03.001.004,Transport,5
B03.03.001.005,Montage,5
B03.03.001.006,Vorhaltedauer,5
B03.03.001.007,Miete,5
B03.03.001.008,Ausstattung,5
B03.03.001.009,Unterhalt,5
B03.03.001.010,Rückbau,5
B03.03.001.011,Entsorgung,5
B03.03.001.012,Erstellung,5
B03.03.001.013,Ausbau,5
B03.03.001.014,Gebäudetechnik,5
B03.03.002,Container,4
B03.03.002.001,Provisorium,5
B03.03.002.002,Gebühr,5
B03.03.002.003,Transporteinrichtung,5
B03.03.002.004,Transport,5
B03.03.002.005,Montage,5
B03.03.002.006,Vorhaltedauer,5
B03.03.002.007,Miete,5
B03.03.002.008,Ausstattung,5
B03.03.002.009,Unterhalt,5
B03.03.002.015,Elektroanschluss,5
B03.03.002.016,Wasseranschluss,5
B03.03.003,Notdach,4
B03.03.003.001,Provisorium,5
B03.03.003.002,Gebühr,5
B03.03.003.003,Transporteinrichtung,5
B03.03.003.004,Transport,5
B03.03.003.005,Montage,5
B03.03.003.006,Vorhaltedauer,5
B03.03.003.007,Miete,5
B03.03.003.010,Rückbau,5
B03.03.003.011,Entsorgung,5
B03.03.003.012,Erstellung,5
B03.04,Provisorische Verkehrsanlage,3
B03.04.000,Provisorische Verkehrsanlage,4
B03.04.000.000,Provisorische Verkehrsanlage,5
B03.04.000.001,Verkehrsanlage,5
B03.04.000.002,Einrichten,5
B03.04.000.003,Rückbau,5
B03.04.001,Umleitung,4
B03.04.001.001,Verkehrsanlage,5
B03.04.001.002,Einrichten,5
B03.04.001.003,Rückbau,5
B03.04.002,Hilfsbrücke,4
B03.04.002.001,Verkehrsanlage,5
B03.04.002.002,Einrichten,5
B03.04.002.003,Rückbau,5
B03.04.003,Signalisation,4
B03.04.003.001,Verkehrsanlage,5
B03.04.003.002,Einrichten,5
B03.04.003.003,Rückbau,5
B03.04.004,Markierung,4
B03.04.004.001,Verkehrsanlage,5
B03.04.004.002,Einrichten,5
B03.04.004.003,Rückbau,5
B03.04.005,Transporteinrichtung,4
B03.04.005.001,Verkehrsanlage,5
B03.04.005.002,Einrichten,5
B03.04.005.003,Rückbau,5
B03.05,"Provisorischer Ausbau, Ausstattung",3
B03.05.000,Provisorische Ausstattung,4
B03.05.000.000,Provisorische Ausstattung,5
B03.05.000.001,Ausstattung,5
B03.05.000.002,Nutzung als Büro,5
B03.05.000.003,Nutzung zu Schulungszwecken,5
B03.05.001,Mobiliar,4
B03.05.001.001,Ausstattung,5
B03.05.001.002,Nutzung als Büro,5
B03.05.001.003,Nutzung zu Schulungszwecken,5
B03.05.002,Kleininventar,4
B03.05.002.001,Ausstattung,5
B03.05.002.002,Nutzung als Büro,5
B03.05.002.003,Nutzung zu Schulungszwecken,5
B03.05.003,Textilien,4
B03.05.003.001,Ausstattung,5
B03.05.003.002,Nutzung als Büro,5
B03.05.003.003,Nutzung zu Schulungszwecken,5
B04,Erschliessung durch Werkleitungen,2
B04.01,Starkstromleitung,3
B04.01.000,Starkstromleitung,4
B04.01.000.000,Starkstromleitung,5
B04.01.000.001,Systembestandteil,5
B04.01.000.002,Anschluss an bestehende Leitung,5
B04.01.000.003,Grabarbeiten,5
B04.01.000.004,Sicherung,5
B04.01.000.005,Spriessung,5
B04.01.000.006,Schüttung,5
B04.01.001,Leitung,4
B04.01.001.001,Systembestandteil,5
B04.01.001.002,Anschluss an bestehende Leitung,5
B04.01.002,Futterrohr,4
B04.01.002.001,Systembestandteil,5
B04.01.002.002,Anschluss an bestehende Leitung,5
B04.01.003,Erdarbeiten,4
B04.01.003.001,Systembestandteil,5
B04.01.003.003,Grabarbeiten,5
B04.01.003.004,Sicherung,5
B04.01.003.005,Spriessung,5
B04.01.003.006,Schüttung,5
B04.01.004,Abdichtung,4
B04.01.004.001,Systembestandteil,5
B04.01.004.002,Anschluss an bestehende Leitung,5
B04.02,Schwachstromleitung,3
B04.02.000,Schwachstromleitung,4
B04.02.000.000,Schwachstromleitung,5
B04.02.000.001,Systembestandteil,5
B04.02.000.002,Anschluss an bestehende Leitung,5
B04.02.000.003,Grabarbeiten,5
B04.02.000.004,Sicherung,5
B04.02.000.005,Spriessung,5
B04.02.000.006,Schüttung,5
B04.02.001,Telekommunikationsleitung,4
B04.02.001.001,Systembestandteil,5
B04.02.001.002,Anschluss an bestehende Leitung,5
B04.02.002,Futterrohr,4
B04.02.002.001,Systembestandteil,5
B04.02.002.002,Anschluss an bestehende Leitung,5
B04.02.003,Erdarbeiten,4
B04.02.003.001,Systembestandteil,5
B04.02.003.003,Grabarbeiten,5
B04.02.003.004,Sicherung,5
B04.02.003.005,Spriessung,5
B04.02.003.006,Schüttung,5
B04.02.004,Abdichtung,4
B04.02.004.001,Systembestandteil,5
B04.02.004.002,Anschluss an bestehende Leitung,5
B04.03,Fernwärmeleitung,3
B04.03.000,Fernwärmeleitung,4
B04.03.000.000,Fernwärmeleitung,5
B04.03.000.001,Systembestandteil,5
B04.03.000.002,Anschluss an bestehende Leitung,5
B04.03.000.003,Grabarbeiten,5
B04.03.000.004,Sicherung,5
B04.03.000.005,Spriessung,5
B04.03.000.006,Umhüllung,5
B04.03.000.007,Schüttung,5
B04.03.001,Leitung,4
B04.03.001.001,Systembestandteil,5
B04.03.001.002,Anschluss an bestehende Leitung,5
B04.03.002,Futterrohr,4
B04.03.002.001,Systembestandteil,5
B04.03.002.002,Anschluss an bestehende Leitung,5
B04.03.003,Erdarbeiten,4
B04.03.003.001,Systembestandteil,5
B04.03.003.003,Grabarbeiten,5
B04.03.003.004,Sicherung,5
B04.03.003.005,Spriessung,5
B04.03.003.006,Umhüllung,5
B04.03.003.007,Schüttung,5
B04.03.004,Abdichtung,4
B04.03.004.001,Systembestandteil,5
B04.03.004.002,Anschluss an bestehende Leitung,5
B04.03.005,Dämmung,4
B04.03.005.001,Systembestandteil,5
B04.03.005.002,Anschluss an bestehende Leitung,5
B04.04,Fernkälteleitung,3
B04.04.000,Fernkälteleitung,4
B04.04.000.000,Fernkälteleitung,5
B04.04.000.001,Systembestandteil,5
B04.04.000.002,Anschluss an bestehende Leitung,5
B04.04.000.003,Grabarbeiten,5
B04.04.000.004,Sicherung,5
B04.04.000.005,Spriessung,5
B04.04.000.006,Umhüllung,5
B04.04.000.007,Schüttung,5
B04.04.001,Leitung,4
B04.04.001.001,Systembestandteil,5
B04.04.001.002,Anschluss an bestehende Leitung,5
B04.04.002,Futterrohr,4
B04.04.002.001,Systembestandteil,5
B04.04.002.002,Anschluss an bestehende Leitung,5
B04.04.003,Erdarbeiten,4
B04.04.003.001,Systembestandteil,5
B04.04.003.003,Grabarbeiten,5
B04.04.003.004,Sicherung,5
B04.04.003.005,Spriessung,5
B04.04.003.006,Umhüllung,5
B04.04.003.007,Schüttung,5
B04.04.004,Abdichtung,4
B04.04.004.001,Systembestandteil,5
B04.04.004.002,Anschluss an bestehende Leitung,5
B04.04.005,Dämmung,4
B04.04.005.001,Systembestandteil,5
B04.04.005.002,Anschluss an bestehende Leitung,5
B04.05,Wasserleitung,3
B04.05.000,Wasserleitung,4
B04.05.000.000,Wasserleitung,5
B04.05.000.001,Systembestandteil,5
B04.05.000.002,Anschluss an bestehende Leitung,5
B04.05.000.003,Grabarbeiten,5
B04.05.000.004,Sicherung,5
B04.05.000.005,Spriessung,5
B04.05.000.006,Umhüllung,5
B04.05.000.007,Schüttung,5
B04.05.001,Leitung,4
B04.05.001.001,Systembestandteil,5
B04.05.001.002,Anschluss an bestehende Leitung,5
B04.05.002,Futterrohr,4
B04.05.002.001,Systembestandteil,5
B04.05.002.002,Anschluss an bestehende Leitung,5
B04.05.003,Erdarbeiten,4
B04.05.003.001,Systembestandteil,5
B04.05.003.003,Grabarbeiten,5
B04.05.003.004,Sicherung,5
B04.05.003.005,Spriessung,5
B04.05.003.006,Umhüllung,5
B04.05.003.007,Schüttung,5
B04.05.004,Armatur,4
B04.05.004.001,Systembestandteil,5
B04.05.004.002,Anschluss an bestehende Leitung,5
B04.05.005,Abdichtung,4
B04.05.005.001,Systembestandteil,5
B04.05.005.002,Anschluss an bestehende Leitung,5
B04.06,Schmutzwasserleitung,3
B04.06.000,Schmutzwasserleitung,4
B04.06.000.000,Schmutzwasserleitung,5
B04.06.000.001,Systembestandteil,5
B04.06.000.002,Anschluss an bestehende Leitung,5
B04.06.000.003,Grabarbeiten,5
B04.06.000.004,Sicherung,5
B04.06.000.005,Spriessung,5
B04.06.000.006,Umhüllung,5
B04.06.000.007,Schüttung,5
B04.06.000.008,"Schachttiefe m bis 1,00",5
B04.06.000.009,"Schachttiefe m bis 1,50",5
B04.06.000.010,"Schachttiefe m 1,51 bis 3,00",5
B04.06.000.011,"Schachttiefe m 3,01 bis 4,00",5
B04.06.000.012,"Schachttiefe m 4,01 bis 5,00",5
B04.06.001,Leitung,4
B04.06.001.001,Systembestandteil,5
B04.06.001.002,Anschluss an bestehende Leitung,5
B04.06.002,Schächte und Abläufe,4
B04.06.002.001,Systembestandteil,5
B04.06.002.002,Anschluss an bestehende Leitung,5
B04.06.002.008,"Schachttiefe m bis 1,00",5
B04.06.002.009,"Schachttiefe m bis 1,50",5
B04.06.002.010,"Schachttiefe m 1,51 bis 3,00",5
B04.06.002.011,"Schachttiefe m 3,01 bis 4,00",5
B04.06.002.012,"Schachttiefe m 4,01 bis 5,00",5
B04.06.003,Rinnen und Kanäle,4
B04.06.003.001,Systembestandteil,5
B04.06.003.002,Anschluss an bestehende Leitung,5
B04.06.004,Erdarbeiten,4
B04.06.004.001,Systembestandteil,5
B04.06.004.003,Grabarbeiten,5
B04.06.004.004,Sicherung,5
B04.06.004.005,Spriessung,5
B04.06.004.006,Umhüllung,5
B04.06.004.007,Schüttung,5
B04.07,Regenwasserleitung,3
B04.07.000,Regenwasserleitung,4
B04.07.000.000,Regenwasserleitung,5
B04.07.000.001,Systembestandteil,5
B04.07.000.002,Anschluss an bestehende Leitung,5
B04.07.000.003,Graben,5
B04.07.000.004,Sicherung,5
B04.07.000.005,Spriessung,5
B04.07.000.006,Umhüllung,5
B04.07.000.007,Schüttung,5
B04.07.001,Leitung,4
B04.07.001.001,Systembestandteil,5
B04.07.001.002,Anschluss an bestehende Leitung,5
B04.07.002,Schacht,4
B04.07.002.001,Systembestandteil,5
B04.07.002.002,Anschluss an bestehende Leitung,5
B04.07.003,Ablauf,4
B04.07.003.001,Systembestandteil,5
B04.07.003.002,Anschluss an bestehende Leitung,5
B04.07.004,Erdarbeiten,4
B04.07.004.001,Systembestandteil,5
B04.07.004.003,Graben,5
B04.07.004.004,Sicherung,5
B04.07.004.005,Spriessung,5
B04.07.004.006,Umhüllung,5
B04.07.004.007,Schüttung,5
B04.07.005,Spaltanlage,4
B04.07.005.002,Anschluss an bestehende Leitung,5
B04.08,Gasleitung,3
B04.08.000,Gasleitung,4
B04.08.000.000,Gasleitung,5
B04.08.000.001,Anschluss an bestehende Leitung,5
B04.08.000.002,Grabarbeiten,5
B04.08.000.003,Sicherung,5
B04.08.000.004,Spriessung,5
B04.08.000.005,Umhüllung,5
B04.08.000.006,Schüttung,5
B04.08.001,Leitung,4
B04.08.001.001,Anschluss an bestehende Leitung,5
B04.08.002,Futterrohr,4
B04.08.002.001,Anschluss an bestehende Leitung,5
B04.08.003,Erdarbeiten,4
B04.08.003.002,Grabarbeiten,5
B04.08.003.003,Sicherung,5
B04.08.003.004,Spriessung,5
B04.08.003.005,Umhüllung,5
B04.08.003.006,Schüttung,5
B04.08.004,Armatur,4
B04.08.004.001,Anschluss an bestehende Leitung,5
B04.08.005,Abdichtung,4
B04.08.005.001,Anschluss an bestehende Leitung,5
B05,"Rodung, Rückbau ",2
B05.01,"Fällung, Rodung, Umpflanzung",3
B05.01.000,"Fällung, Rodung, Umpflanzung",4
B05.01.000.000,"Fällung, Rodung, Umpflanzung",5
B05.01.000.001,Baum,5
B05.01.000.002,Hecke,5
B05.01.000.003,Strauch,5
B05.01.000.004,Transport,5
B05.01.000.005,Entsorgung,5
B05.01.000.006,Gebühr,5
B05.01.001,Fällung,4
B05.01.001.001,Baum,5
B05.01.001.002,Hecke,5
B05.01.001.003,Strauch,5
B05.01.001.004,Transport,5
B05.01.001.005,Entsorgung,5
B05.01.001.006,Gebühr,5
B05.01.002,Abholzung,4
B05.01.002.001,Baum,5
B05.01.002.002,Hecke,5
B05.01.002.003,Strauch,5
B05.01.002.004,Transport,5
B05.01.002.005,Entsorgung,5
B05.01.002.006,Gebühr,5
B05.01.003,Rodung,4
B05.01.003.001,Baum,5
B05.01.003.002,Hecke,5
B05.01.003.003,Strauch,5
B05.01.003.004,Transport,5
B05.01.003.005,Entsorgung,5
B05.01.003.006,Gebühr,5
B05.02,Nicht kontaminierter Rückbau ,3
B05.02.000,Nicht kontaminierter Rückbau,4
B05.02.000.000,Nicht kontaminierter Rückbau,5
B05.02.000.001,Abbruch,5
B05.02.000.002,Demontage,5
