Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fläche_m2;Länge_m
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025d42;Tueren;0915 x 2134mm;M_Single-Flush;108A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025e18;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;132A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025e8e;Tueren;0915 x 2134mm;M_Single-Flush;132B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000267d0;Tueren;0915 x 2134mm;M_Single-Flush;232;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000267d3;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;233;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000267ec;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;217;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026800;Tueren;0915 x 2134mm;M_Single-Flush;212;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026801;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;214;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026803;Tueren;0915 x 2134mm;M_Single-Flush;211;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026804;Tueren;0915 x 2134mm;M_Single-Flush;210;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026815;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;201;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002685a;Tueren;0915 x 2134mm;M_Single-Flush;326;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002685d;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;327;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026876;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;312;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002688a;Tueren;0915 x 2134mm;M_Single-Flush;309;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002688b;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;310;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002688d;Tueren;0915 x 2134mm;M_Single-Flush;308;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002688e;Tueren;0915 x 2134mm;M_Single-Flush;307;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002689f;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;301;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026b49;Tueren;0915 x 2134mm;M_Single-Flush;202;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026b85;Tueren;0915 x 2134mm;M_Single-Flush;203;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026bb7;Tueren;0915 x 2134mm;M_Single-Flush;204;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026be7;Tueren;0915 x 2134mm;M_Single-Flush;205;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026c15;Tueren;0915 x 2134mm;M_Single-Flush;206;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026c63;Tueren;0915 x 2134mm;M_Single-Flush;207;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026c95;Tueren;0915 x 2134mm;M_Single-Flush;208;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026cd5;Tueren;0915 x 2134mm;M_Single-Flush;209;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026ece;Tueren;0915 x 2134mm;M_Single-Flush;218;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026f10;Tueren;0915 x 2134mm;M_Single-Flush;219A;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026f70;Tueren;0915 x 2134mm;M_Single-Flush;219B;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026fbc;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;220;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00026ff8;Tueren;0915 x 2134mm;M_Single-Flush;221;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002703c;Tueren;0915 x 2134mm;M_Single-Flush;222;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027537;Tueren;0915 x 2134mm;M_Single-Flush;231;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000275f0;Tueren;0915 x 2134mm;M_Single-Flush;230;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027636;Tueren;0915 x 2134mm;M_Single-Flush;229;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000276a0;Tueren;0915 x 2134mm;M_Single-Flush;226;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027704;Tueren;0915 x 2134mm;M_Single-Flush;228;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027752;Tueren;0915 x 2134mm;M_Single-Flush;225;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000277bf;Tueren;1730 x 2134mm 20 Minute Rated;M_Double-Flush;227;1;Stk;02 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027f03;Tueren;0915 x 2134mm;M_Single-Flush;306;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027f35;Tueren;0915 x 2134mm;M_Single-Flush;305B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027f79;Tueren;0915 x 2134mm;M_Single-Flush;305A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027fa7;Tueren;0915 x 2134mm;M_Single-Flush;304B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027fcf;Tueren;0915 x 2134mm;M_Single-Flush;304A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00027ff1;Tueren;0915 x 2134mm;M_Single-Flush;303B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002801b;Tueren;0915 x 2134mm;M_Single-Flush;303A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002805d;Tueren;0915 x 2134mm;M_Single-Flush;302B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002809b;Tueren;0915 x 2134mm;M_Single-Flush;302A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002824a;Tueren;0915 x 2134mm;M_Single-Flush;320B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000282d6;Tueren;0915 x 2134mm;M_Single-Flush Vision;320A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028312;Tueren;0915 x 2134mm;M_Single-Flush Vision;319;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028342;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;317;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000283a0;Tueren;0915 x 2134mm;M_Single-Flush Vision;315;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028405;Tueren;0915 x 2134mm;M_Single-Flush Vision;314;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028439;Tueren;0915 x 2134mm;M_Single-Flush;313A;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028462;Tueren;0915 x 2134mm;M_Single-Flush;313B;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000284e2;Tueren;0915 x 2134mm;M_Single-Flush;316;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000285f8;Tueren;1830 x 2134mm;M_Double-Glass 1;321;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028656;Tueren;1730 x 2134mm 20 Minute Rated;M_Double-Flush;323;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00028695;Tueren;0915 x 2134mm;M_Single-Glass 1;322;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000286c3;Tueren;0915 x 2134mm;M_Single-Flush;324;1;Stk;03 - Floor;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002870d;Tueren;0915 x 2134mm;M_Single-Flush;325;1;Stk;03 - Floor;;;;
racadvancedsampleproject;07ae6064-8e02-489e-896d-f7554545ebb2-0002c8e7;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;101B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;d80b1bb3-cb99-438c-9e13-a910093d55fb-0002f9db;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;121;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;cf8cfcc0-c742-4a2a-b6ca-a26573419e10-0002ff74;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;101A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;cf8cfcc0-c742-4a2a-b6ca-a26573419e10-00030078;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;101C;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;cf8cfcc0-c742-4a2a-b6ca-a26573419e10-000300e6;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;101D;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;110717dd-74ae-4656-b586-fb1c03e9905a-000305a6;Tueren;M_Curtain Wall Dbl Glass;M_Curtain Wall Dbl Glass;120;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;b2e5db11-6e86-402f-9cca-c737bc6f09a8-00034f0c;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;234;1;Stk;02 - Floor;;;;
racadvancedsampleproject;b2e5db11-6e86-402f-9cca-c737bc6f09a8-00034f0d;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;;1;Stk;02 - Floor;;;;
racadvancedsampleproject;b2e5db11-6e86-402f-9cca-c737bc6f09a8-000350cb;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;223;1;Stk;02 - Floor;;;;
racadvancedsampleproject;6949fe39-3e9a-4d4d-b7fe-71339c615138-0002221b;Boeden;Hollow Core Plank - Concrete Topping;;;1555.7700000000000;m2;02 - Floor;Carpet (1) [Finish 1] (15 mm) | Concrete - Cast-in-Place Concrete [Substrat] (50 mm) | Concrete - Cast In Situ [Tragend] (200 mm);265;;
racadvancedsampleproject;6949fe39-3e9a-4d4d-b7fe-71339c615138-00022235;Boeden;Hollow Core Plank - Concrete Topping;;;1550.0300000000000;m2;03 - Floor;Carpet (1) [Finish 1] (15 mm) | Concrete - Cast-in-Place Concrete [Substrat] (50 mm) | Concrete - Cast In Situ [Tragend] (200 mm);265;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002640e;Boeden;Standard Timber-Wood Finish;;;239.40000000000001;m2;01 - Entry Level;Wood - Flooring [Finish 2] (40 mm) | Concrete - Cast-in-Place Concrete [Tragend] (100 mm);140;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000310e1;Boeden;Metal Sunscreen;;;36.200000000000003;m2;03 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-0003115e;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;03 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031176;Boeden;Metal Sunscreen;;;21.0;m2;03 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311a8;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;03 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311ba;Boeden;Metal Sunscreen;;;36.200000000000003;m2;01 - Entry Level;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311c3;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;01 - Entry Level;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311cc;Boeden;Metal Sunscreen;;;21.0;m2;01 - Entry Level;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311d5;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;01 - Entry Level;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311e7;Boeden;Metal Sunscreen;;;36.200000000000003;m2;02 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311f0;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;02 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-000311f9;Boeden;Metal Sunscreen;;;21.0;m2;02 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;dcc088fe-6ceb-45a9-9f34-c6da1e55aa8e-00031202;Boeden;Metal Sunscreen;;;5.7999999999999998;m2;02 - Floor;Metal - Sunscreen [Tragend] (13 mm);13;;
racadvancedsampleproject;e4148a5a-ef43-42c7-8c1f-cbfa1d6199fc-00033ec3;Boeden;Concrete- 100mm;;;1759.9300000000001;m2;01 - Entry Level;Concrete - Cast-in-Place Concrete [Tragend] (100 mm);100;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-00024014;Decken;600 x 600mm Grid;;;41.530000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-0002401e;Decken;600 x 600mm Grid;;;15.380000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-00024026;Decken;600 x 600mm Grid;;;15.779999999999999;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-0002402e;Decken;600 x 600mm Grid;;;5.5800000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-00024036;Decken;Plain;;;22.180000000000000;m2;01 - Entry Level;Metal - Stud Layer [Tragend] (45 mm) | Plasterboard [Tragend] (12 mm);57;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-0002403e;Decken;Plain;;;8.4600000000000009;m2;01 - Entry Level;Metal - Stud Layer [Tragend] (45 mm) | Plasterboard [Tragend] (12 mm);57;;
racadvancedsampleproject;aa83bc3b-70bb-4e53-963e-3d5c9084e667-0002404e;Decken;600 x 600mm Grid;;;94.900000000000006;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292c1;Decken;600 x 600mm Grid;;;48.700000000000003;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292c9;Decken;600 x 600mm Grid;;;31.710000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292d1;Decken;600 x 600mm Grid;;;127.05000000000000;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292df;Decken;600 x 600mm Grid;;;7.0800000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292e7;Decken;600 x 600mm Grid;;;18.850000000000001;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292ef;Decken;600 x 600mm Grid;;;13.690000000000000;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292f7;Decken;600 x 600mm Grid;;;13.119999999999999;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-000292ff;Decken;600 x 600mm Grid;;;89.760000000000005;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029307;Decken;600 x 600mm Grid;;;48.130000000000003;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002930f;Decken;600 x 600mm Grid;;;97.400000000000006;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029317;Decken;600 x 600mm Grid;;;48.130000000000003;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002931f;Decken;600 x 600mm Grid;;;47.170000000000002;m2;01 - Entry Level;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002932e;Decken;600 x 600mm Grid;;;5.5800000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-00029336;Decken;600 x 600mm Grid;;;25.460000000000001;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
racadvancedsampleproject;f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002933e;Decken;600 x 600mm Grid;;;14.869999999999999;m2;02 - Floor;Default [Tragend] (36 mm) | Ceiling Tile 600 x 600 [Finish 2] (16 mm);52;;
