Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fläche_m2;Länge_m;BKP_Code;BKP_Beschreibung;KI_Konfidenz
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c057f;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;408C;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0580;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;407A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c05b9;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;506D;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0614;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;409A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0615;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;410A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0683;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;308A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0684;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;309A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1f7f1eea-b08d-416f-9e1c-b079e9c46b83-000c073b;Tueren;"36"" x 84"" (45 MIN)";Door-Passage-Single-Flush;P02;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e44d188c-4af4-4a48-ba70-431f5b2e7681-000c160f;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;P03;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e44d188c-4af4-4a48-ba70-431f5b2e7681-000c162d;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;P04;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e44d188c-4af4-4a48-ba70-431f5b2e7681-000c170a;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;P05;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c351e;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;203B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c4895;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;203A;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c4fcf;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;304A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c502d;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;404A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c508b;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;504B;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;76d1b90c-43bc-4027-9d99-b8556ed101f9-000c59fe;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;204B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee986734-5894-451d-a44d-8647116f27e2-000c64b8;Tueren;"36"" x 84""";Door-Passage-Single-Flush;204;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;a89d0e03-7db8-4a89-aefc-2bc49e0884c6-000cb1b7;Tueren;"36"" x 84""";Door-Passage-Single-Flush;201B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc616;Tueren;"36"" x 84"" (Roof)";Door-Passage-Single-Flush;R100A;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc654;Tueren;"36"" x 84"" (Roof)";Door-Passage-Single-Flush;R100E;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc67f;Tueren;"72"" x 84""";Door-Passage-Double-Flush;R100D;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc7bf;Tueren;"72"" x 84""";Door-Passage-Double-Flush;R103A;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc7d3;Tueren;"72"" x 84""";Door-Passage-Double-Flush;R103B;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000cc96c;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;405A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000ccc54;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;403B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8dd6f36e-c3c3-4f56-8d51-5f14900ffe7e-000ccc8a;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;405B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30a70096-9e54-40c1-a6fd-47920eff814f-000d4079;Tueren;"36"" x 84""";Door-Passage-Single-Flush;108B;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c1d54505-61c2-449c-9999-8528a85092a8-000d742e;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S22B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c1d54505-61c2-449c-9999-8528a85092a8-000d742f;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S24;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c1d54505-61c2-449c-9999-8528a85092a8-000d7430;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S23;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c1d54505-61c2-449c-9999-8528a85092a8-000d7431;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S25;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c1d54505-61c2-449c-9999-8528a85092a8-000d7871;Tueren;"36"" x 84"" (Roof)";Door-Passage-Single-Flush;S26;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8be2;Tueren;"36"" x 84"" (45 MIN)";Door-Passage-Single-Flush;201A;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8e10;Tueren;"36"" x 84""";Door-Passage-Single-Flush;R100B;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8e6c;Tueren;"36"" x 84""";Door-Passage-Single-Flush;R100C;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f10;Tueren;"36"" x 84"" (45 MIN)";Door-Passage-Single-Flush;302A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f14;Tueren;"36"" x 84"" (45 MIN)";Door-Passage-Single-Flush;402A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ee03061f-d7b4-4e6a-b397-fa44f24a42a7-000d8f18;Tueren;"36"" x 84"" (45 MIN)";Door-Passage-Single-Flush;502A;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;d25651f2-4b77-4502-831b-94c28a909a13-000dbcd0;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S20;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1e1216bb-7a57-4652-adb5-2002d71ed03d-000dd694;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;409B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddc5b;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;410B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd26;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;308B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1e1216bb-7a57-4652-adb5-2002d71ed03d-000ddd4b;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;309B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1e1216bb-7a57-4652-adb5-2002d71ed03d-000dddce;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;507C;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c40d2a77-58c6-4479-8315-653c702baee6-000fff84;Tueren;Door-Curtain-Wall-Single-Storefront;Door-Curtain-Wall-Single-Storefront;S22A;1.0;Stk;L1 - Block 43;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;049439b4-5467-47c4-a72e-459e7fd736c2-00101ad4;Tueren;"34"" x 84"" (90 MIN)";Door-Passage-Single-Two_Lite;502C;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;049439b4-5467-47c4-a72e-459e7fd736c2-00101b16;Tueren;"34"" x 84"" (90 MIN)";Door-Passage-Single-Two_Lite;502B;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;049439b4-5467-47c4-a72e-459e7fd736c2-00101c36;Tueren;"34"" x 84"" (90 MIN)";Door-Passage-Single-Two_Lite;507A;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;f1e85522-067c-41f7-b53b-54506a9ec72d-00126779;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;204A;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ca6ba87f-a3eb-408d-9990-f6081814b705-00127c92;Tueren;"36"" x 84""";Door-Passage-Single-Flush;406;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;cfa49403-f47c-4264-9960-aa8f04ed02f1-001309e8;Tueren;"36"" x 84""";Door-Passage-Single-Flush;101C;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;cfa49403-f47c-4264-9960-aa8f04ed02f1-00130a2d;Tueren;"36"" x 84""";Door-Passage-Single-Flush;101B;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;cfa49403-f47c-4264-9960-aa8f04ed02f1-00131362;Tueren;"26"" x 84""";Door-Passage-Single-Flush;101A;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1c108535-bbed-422b-bc93-8d7055e839ed-00133144;Tueren;"36"" x 84"" (90 MIN)";Door-Passage-Single-Two_Lite;S11B;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b042;Tueren;"32"" x 84""";Door-Opening;506OPN;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b0;Tueren;"32"" x 84""";Door-Opening;205OPN;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b2;Tueren;"32"" x 84""";Door-Opening;307OPN;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;8c89656c-31b8-4220-bf37-dc8bf480b6a0-0013b0b4;Tueren;"32"" x 84""";Door-Opening;408OPN;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;d1400117-a019-4580-88e1-b58021f7b5ef-0013d1c8;Tueren;"36"" x 84"" (Roof)";Door-Passage-Single-Flush;S36;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ceee9ff8-50eb-46e4-bac5-3786f3164d7e-0013f9c9;Tueren;"36"" x 84"" (90 MIN)";Door-Passage-Single-Flush;401A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;ceee9ff8-50eb-46e4-bac5-3786f3164d7e-0013fa9f;Tueren;"36"" x 84"" (20 MIN)";Door-Passage-Single-Flush;201C;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-001408f0;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;304B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-00140929;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;404B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-00140962;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;504C;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-001409c8;Tueren;"36"" x 84"" (20 MIN)";Door-Passage-Single-Flush;302B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-00140baa;Tueren;"36"" x 84"" (20 MIN)";Door-Passage-Single-Flush;402B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;67c8725e-6767-456a-a743-b96a80deb581-00140bb1;Tueren;"36"" x 84"" (20 MIN)";Door-Passage-Single-Flush;502D;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;a2df1c87-f272-419d-a2ab-ad91c32f9e0f-001420b6;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;406C;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e8d0e752-8307-45f3-82e8-e54d42939a03-0014286d;Tueren;"36"" x 84"" (90 MIN)";Door-Passage-Single-Flush;501A;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e8d0e752-8307-45f3-82e8-e54d42939a03-00142afe;Tueren;"36"" x 84""";Door-Passage-Single-Flush;501B;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e8d0e752-8307-45f3-82e8-e54d42939a03-00142c75;Tueren;"36"" x 84""";Door-Passage-Single-Flush;301C;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;e8d0e752-8307-45f3-82e8-e54d42939a03-00142c98;Tueren;"36"" x 84""";Door-Passage-Single-Flush;401B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;2b2fb460-c8c8-4b8a-9424-312124e4a146-00146a68;Tueren;Access Door;Door-Overhead-Rolling;107A;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-00153034;Tueren;"36"" x 84""";Door-Passage-Single-Flush;105B;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-00153035;Tueren;"36"" x 84""";Door-Passage-Single-Flush;105A;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-001536f9;Tueren;"36"" x 84""";Door-Passage-Single-Flush;108A;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-001538b3;Tueren;"36"" x 84""";Door-Passage-Single-Flush;109B;1.0;Stk;L1 - Block 43;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-001538b4;Tueren;"36"" x 84""";Door-Passage-Single-Flush;109C;1.0;Stk;L1 - Block 43;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-00154006;Tueren;"36"" x 84""";Door-Passage-Single-Flush;106F;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;30bd67ff-88d2-4644-a770-c24587575e58-00154388;Tueren;"36"" x 84""";Door-Passage-Single-Flush;106E;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
